faction_name,faction_code,faction_color
"Eesti Vabaerakonna fraktsioon","VE","#7AC0E6"
"Eesti Keskerakonna fraktsioon","KE","#00983A"
"Sotsiaaldemokraatliku Erakonna fraktsioon","SDE","#E30613"
"Eesti Koonderakonna fraktsioon","Koond","#82368C"
"Eestimaa Rahvaliidu fraktsioon","RL","#E89626"
"Fraktsiooni mittekuuluvad Riigikogu liikmed","n/a","#CCCCCC"
"Isamaa ja Res Publica Liidu fraktsioon","IRL","#00AEEF"
"Eesti Reformierakonna fraktsioon","RE","#FFDE00"
"Res Publica fraktsioon","RP","#00AEEF"
"Isamaaliidu fraktsioon","IL","#00AEEF"
"Isamaa fraktsioon","I","#00AEEF"
"Eestimaa Ühendatud Rahvapartei fraktsioon","EÜRP","#000000"
"Eesti Konservatiivse Rahvaerakonna fraktsioon","EKRE","#0077BD"
"Mõõdukate fraktsioon","Mõõdukad","#E30613"
